error_msg,usage_rec_no,error_code
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
usage code or type not on active plan,,20006
invalid date format,,1024
usage code or type not on active plan,,20006
OK,385338,0
OK,385339,0
OK,385340,0
OK,385341,0
OK,385342,0
OK,385343,0
OK,385344,0
OK,385345,0
OK,385346,0
OK,385347,0
OK,385348,0
OK,385349,0
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
usage code or type not on active plan,,20006
invalid date format,,1024
usage code or type not on active plan,,20006
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
OK,385350,0
OK,385351,0
OK,385352,0
usage code or type not on active plan,,20006
OK,385353,0
usage code or type not on active plan,,20006
OK,385354,0
OK,385355,0
OK,385356,0
OK,385357,0
OK,385358,0
OK,385359,0
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
usage code or type not on active plan,,20006
invalid date format,,1024
usage code or type not on active plan,,20006
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
OK,385360,0
OK,385361,0
OK,385362,0
OK,385363,0
OK,385364,0
OK,385365,0
OK,385366,0
OK,385367,0
usage code or type not on active plan,,20006
OK,385368,0
usage code or type not on active plan,,20006
OK,385369,0
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
usage code or type not on active plan,,20006
invalid date format,,1024
usage code or type not on active plan,,20006
OK,385370,0
OK,385371,0
OK,385372,0
OK,385373,0
OK,385374,0
OK,385375,0
OK,385376,0
OK,385377,0
OK,385378,0
OK,385379,0
OK,385380,0
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
usage code or type not on active plan,,20006
invalid date format,,1024
usage code or type not on active plan,,20006
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
OK,385382,0
OK,385383,0
OK,385384,0
usage code or type not on active plan,,20006
OK,385385,0
usage code or type not on active plan,,20006
OK,385386,0
OK,385387,0
OK,385388,0
OK,385389,0
OK,385390,0
OK,385391,0
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
usage code or type not on active plan,,20006
invalid date format,,1024
usage code or type not on active plan,,20006
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
OK,385392,0
OK,385393,0
OK,385394,0
OK,385395,0
OK,385396,0
OK,385397,0
OK,385398,0
OK,385399,0
usage code or type not on active plan,,20006
OK,385400,0
usage code or type not on active plan,,20006
OK,385401,0
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
usage code or type not on active plan,,20006
invalid date format,,1024
usage code or type not on active plan,,20006
invalid date format,,1024
OK,385402,0
OK,385403,0
OK,385404,0
OK,385405,0
OK,385406,0
OK,385407,0
OK,385408,0
OK,385409,0
OK,385410,0
OK,385411,0
OK,385412,0
OK,385413,0
invalid date format,,1024
invalid date format,,1024
usage code or type not on active plan,,20006
invalid date format,,1024
usage code or type not on active plan,,20006
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
invalid date format,,1024
