error_msg,usage_rec_no,error_code
usage code or type not on active plan,,20006
OK,394993,0
OK,394994,0
OK,394995,0
OK,394996,0
OK,394997,0
OK,394998,0
OK,394999,0
OK,395000,0
OK,395001,0
OK,395002,0
OK,395003,0
usage code or type not on active plan,,20006
OK,395004,0
OK,395005,0
OK,395006,0
OK,395007,0
OK,395008,0
